timestamp,AccX,AccY,AccZ
1753033038472,2.2829999923706055,3.724050283432007,9.354000091552734
1753033038482,2.496000051498413,4.165950298309326,8.422950744628906
1753033038499,2.299950122833252,4.011000156402588,8.526000022888184
1753033038516,2.1160500049591064,3.901050090789795,8.551950454711914
1753033038534,2.020050048828125,4.188000202178955,8.26200008392334
1753033038551,2.2450501918792725,4.0489501953125,8.338950157165527
1753033038568,2.4720001220703125,3.9250502586364746,8.772000312805176
1753033038585,2.568000078201294,3.889050245285034,8.956050872802734
1753033038602,2.284950017929077,3.7860002517700195,9.145050048828125
1753033038619,2.7139501571655273,4.051050186157227,8.473050117492676
1753033038636,2.7589502334594727,3.8310000896453857,8.341050148010254
1753033038654,2.6419501304626465,3.868950128555298,8.373000144958496
1753033038671,2.6010000705718994,3.919950246810913,8.430000305175781
1753033038688,2.5630500316619873,3.948000192642212,8.611950874328613
1753033038705,2.628000020980835,3.988950252532959,8.550000190734863
1753033038722,2.5530002117156982,3.916950225830078,8.71500015258789
1753033038739,2.3809502124786377,3.9220502376556396,8.976000785827637
1753033038756,,,9.418050765991211
1753033038757,2.3359501361846924,3.76200008392334,
1753033038773,2.451000213623047,3.670950174331665,9.201000213623047
1753033038790,,,8.61405086517334
1753033038791,2.5320000648498535,3.712050199508667,
1753033038808,3.0990002155303955,3.478950262069702,8.265000343322754
1753033038824,2.905050039291382,3.739950180053711,8.7649507522583
1753033038843,2.2710001468658447,4.228050231933594,8.860950469970703
1753033038861,1.9390500783920288,4.165950298309326,8.812950134277344
1753033038877,1.8720000982284546,4.248000144958496,8.71500015258789
1753033038893,2.1610500812530518,4.342950344085693,7.470000267028809
1753033038911,2.4340500831604004,4.374000072479248,6.690000534057617
1753033038929,2.508000135421753,4.288050174713135,6.865050315856934
1753033038945,2.7210001945495605,4.099050045013428,7.582950592041016
1753033038962,2.7430500984191895,3.463050127029419,8.80305004119873
1753033038979,2.368950128555298,3.24495005607605,9.604950904846191
1753033038996,2.095950126647949,3.511050224304199,10.633950233459473
1753033039013,2.2740001678466797,3.312000274658203,10.665000915527344
1753033039030,3.0799500942230225,2.725950241088867,10.219950675964355
1753033039047,,,9.021000862121582
1753033039048,3.9049501419067383,1.9170000553131104,
1753033039065,3.3480000495910645,2.379000186920166,8.039999961853027
1753033039082,2.3050501346588135,3.1519501209259033,7.603950500488281
1753033039099,1.234950065612793,4.012950420379639,8.052000045776367
1753033039116,0.9480000734329224,4.639950275421143,8.56605052947998
1753033039133,,,8.977950096130371
1753033039134,0.7680000066757202,5.1570000648498535,
1753033039151,1.024049997329712,5.499000072479248,9.13800048828125
1753033039167,,,9.11400032043457
1753033039168,1.3140000104904175,4.717050075531006,
1753033039185,1.6060501337051392,3.532050132751465,9.282000541687012
1753033039202,1.5169501304626465,3.7549502849578857,9.279000282287598
1753033039219,1.4580000638961792,3.891000270843506,9.238950729370117
1753033039236,,,8.997000694274902
1753033039237,1.807050108909607,3.6160502433776855,
1753033039253,,,8.920950889587402
1753033039254,1.651050090789795,3.724050283432007,
1753033039271,1.8430501222610474,3.8839502334594727,8.593050003051758
1753033039288,2.239950180053711,4.011000156402588,8.526000022888184
1753033039305,2.080049991607666,4.019999980926514,8.650050163269043
1753033039322,1.990950107574463,,8.265000343322754
1753033039323,,4.027050018310547,
1753033039340,2.149049997329712,3.558000087738037,8.023050308227539
1753033039356,,,8.700000762939453
1753033039357,2.058000087738037,3.5490002632141113,
1753033039373,1.7329500913619995,4.135050296783447,9.229050636291504
1753033039391,2.2540500164031982,3.4459502696990967,8.916000366210938
1753033039407,1.596000075340271,3.697050094604492,9.016050338745117
1753033039425,1.659000039100647,3.7710001468658447,8.437050819396973
1753033039443,2.080049991607666,3.7260000705718994,8.053950309753418
1753033039461,1.9069501161575317,3.7159502506256104,8.395950317382812
1753033039478,1.4620500802993774,3.6610500812530518,9.106950759887695
1753033039494,1.88100004196167,2.9860501289367676,9.121950149536133
1753033039511,2.07705020904541,2.662950038909912,9.720000267028809
1753033039527,,,10.167000770568848
1753033039528,1.5649501085281372,2.6920502185821533,
1753033039545,1.3519500494003296,2.7930002212524414,9.886950492858887
1753033039562,1.0339500904083252,,9.367950439453125
1753033039563,,2.9770500659942627,
