timestamp,AccX,AccY,AccZ
1753031629003,0.44505003094673157,3.5149502754211426,9.705000877380371
1753031629053,0.5629500150680542,4.159049987792969,10.009050369262695
1753031629125,0.7680000066757202,4.219050407409668,8.599950790405273
1753031629186,0.6390000581741333,3.7039501667022705,9.622050285339355
1753031629253,0.7129500508308411,,
1753031629254,0.6490500569343567,3.9409501552581787,8.917950630187988
1753031629321,1.0579500198364258,2.7400500774383545,9.418050765991211
1753031629388,1.2370500564575195,3.184950113296509,8.79104995727539
1753031629455,0.24000000953674316,3.4669501781463623,9.193050384521484
1753031629522,-0.3150000274181366,,10.063950538635254
1753031629523,,4.468050003051758,
1753031629590,1.1299500465393066,,9.330000877380371
1753031629592,,2.9629502296447754,
1753031629657,1.765950083732605,,
1753031629658,1.7160000801086426,4.657050132751465,6.966000556945801
1753031629725,1.0699501037597656,4.051050186157227,9.415950775146484
1753031629792,2.5510501861572266,,8.734050750732422
1753031629793,,3.5490002632141113,
1753031629859,1.4410500526428223,,
1753031629860,1.714050054550171,,8.410950660705566
1753031629861,,4.276050090789795,
1753031629927,1.2420001029968262,4.936950206756592,7.0660505294799805
1753031629994,1.1970000267028809,4.645050048828125,10.222050666809082
1753031630061,1.8019500970840454,4.426949977874756,8.200050354003906
1753031630129,1.0890001058578491,3.9439501762390137,8.593050003051758
1753031630196,1.371000051498413,,
1753031630197,1.4050500392913818,4.9609503746032715,8.679000854492188
1753031630263,1.1509500741958618,4.669050216674805,8.932950019836426
1753031630330,1.3690500259399414,,7.82205057144165
1753031630331,,4.354950428009033,
1753031630397,1.3860000371932983,,8.077950477600098
1753031630399,,4.980000019073486,
1753031630464,2.149049997329712,5.63100004196167,10.56705093383789
1753031630465,,5.454000473022461,
1753031630532,2.1319501399993896,4.3909502029418945,9.004050254821777
1753031630599,1.864050030708313,,7.846050262451172
1753031630600,,3.4390501976013184,
1753031630667,2.6520001888275146,,7.863000392913818
1753031630670,,3.682950258255005,
1753031630734,2.686950206756592,,8.325000762939453
1753031630735,,4.872000217437744,
1753031630802,3.184950113296509,4.939050197601318,8.245950698852539
1753031630869,2.4910500049591064,3.7860002517700195,9.166950225830078
1753031631002,2.707050085067749,4.531949996948242,8.236050605773926
1753031631070,2.326050043106079,4.707000255584717,7.803000450134277
1753031631138,2.1319501399993896,,
1753031631139,2.3959500789642334,4.408050060272217,8.988000869750977
1753031631203,2.7709500789642334,,7.843950271606445
1753031631204,,3.573000192642212,
1753031631271,2.0029501914978027,3.0010502338409424,6.394050121307373
1753031631339,5.581050395965576,3.1369502544403076,6.247950077056885
1753031631405,4.159049987792969,,
1753031631406,3.5149502754211426,2.545950174331665,7.525050163269043
1753031631473,2.428950071334839,,4.111050128936768
1753031631474,,1.5700501203536987,
1753031631541,4.578000068664551,,
1753031631542,5.554050445556641,0.4050000309944153,5.877000331878662
1753031631608,10.42905044555664,-1.4800500869750977,7.516050338745117
1753031631675,11.788050651550293,,5.383950233459473
1753031631676,,-2.454000234603882,
1753031631742,9.871050834655762,,2.6269500255584717
1753031631744,,-2.868000030517578,
1753031631809,8.244000434875488,,1.8540000915527344
1753031631812,,-3.676950216293335,
1753031631879,9.177000045776367,-4.597949981689453,2.7970502376556396
1753031631944,11.167950630187988,-4.44195032119751,0.7920000553131104
1753031632012,10.165050506591797,-2.8560001850128174,2.8980002403259277
1753031632079,10.693950653076172,-3.390000104904175,1.7299500703811646
1753031632146,9.313050270080566,,
1753031632147,9.1360502243042,-4.378050327301025,3.9600002765655518
1753031632213,6.058950424194336,,
1753031632214,5.868000507354736,-4.107000350952148,4.501049995422363
1753031632280,5.923050403594971,,
1753031632281,5.770050048828125,-3.772050142288208,5.209050178527832
1753031632349,5.571000099182129,,
1753031632350,5.841000080108643,-3.4810502529144287,4.318950176239014
1753031632415,6.375000476837158,,
1753031632416,6.829950332641602,-4.5360002517700195,4.813950061798096
1753031632482,7.957050323486328,,
1753031632483,,-4.736999988555908,4.888050079345703
1753031632550,8.75100040435791,,4.417050361633301
1753031632554,,-3.7170002460479736,
1753031632618,8.212950706481934,-5.017050266265869,3.6349501609802246
1753031632684,7.342050552368164,-5.034000396728516,0.2560500204563141
1753031632752,7.866000175476074,,1.64805006980896
1753031632753,,-5.110050201416016,
1753031632819,8.513999938964844,,-0.24300001561641693
1753031632822,,-5.794050216674805,
1753031632886,9.558000564575195,-5.8690505027771,-0.909000039100647
1753031632952,8.574000358581543,,-0.322050005197525
1753031632953,,-5.823000431060791,
1753031633020,7.5450005531311035,-5.670000076293945,0.8470500111579895
1753031633088,7.354050159454346,,-1.0279500484466553
1753031633090,,-6.256050109863281,
1753031633155,7.4569501876831055,-5.854050159454346,0.6100500226020813
1753031633222,8.694000244140625,,
1753031633223,,-5.952000141143799,0.5209500193595886
1753031633289,8.136000633239746,,-0.3439500033855438
1753031633290,,-6.189000129699707,
1753031633357,7.459050178527832,,0.9019500613212585
1753031633358,,-5.73900032043457,
1753031633359,,-5.850000381469727,
1753031633424,7.330050468444824,-5.779950141906738,0.032999999821186066
1753031633491,8.019000053405762,-6.4930500984191895,0.27300000190734863
1753031633558,8.536050796508789,,
1753031633559,,-7.165950298309326,0.38700002431869507
1753031633626,7.903950214385986,,0.6840000152587891
1753031633628,,-6.228000164031982,
1753031633694,7.210050106048584,,
1753031633695,7.059000492095947,-5.409000396728516,-0.3439500033855438
1753031633762,7.2360005378723145,-5.413950443267822,-0.27000001072883606
1753031633827,7.372950553894043,,0.032999999821186066
1753031633828,,-6.460050106048584,
1753031633894,8.545050621032715,,
1753031633895,,,0.9040500521659851
1753031633896,,-6.271050453186035,
1753031633962,8.016000747680664,,-1.437000036239624
1753031633963,,-6.043050289154053,
1753031634029,6.885000228881836,-4.581000328063965,0.6630000472068787
1753031634096,7.452000141143799,,-0.08505000174045563
1753031634097,,-5.93595027923584,
1753031634164,8.947050094604492,,-0.18300001323223114
1753031634167,,-7.278000354766846,
1753031634232,9.064949989318848,-5.455050468444824,0.019050000235438347
1753031634299,7.165050506591797,-4.207950115203857,-1.516050100326538
1753031634365,7.5450005531311035,,0.1579500138759613
1753031634366,,-6.430950164794922,
1753031634432,7.843950271606445,,
1753031634434,,-6.169950485229492,0.9400500655174255
1753031634568,8.847000122070312,-6.5460004806518555,-0.46800002455711365
1753031634635,7.3660502433776855,-5.509950160980225,-0.7120500206947327
1753031634702,7.204950332641602,,0.15495000779628754
1753031634703,,-5.244000434875488,
1753031634704,,-5.37600040435791,
1753031634769,7.087950229644775,-6.361950397491455,-0.6550500392913818
1753031634836,8.480999946594238,-6.8550004959106445,0.6670500040054321
