timestamp,AccX,AccY,AccZ
1752098675879,0.10953472554683685,3.9402575492858887,7.572261333465576
1752098675919,0.34656068682670593,,11.255741119384766
1752098675922,,3.5715503692626953,
1752098675945,0.43514615297317505,,
1752098675946,,4.053982257843018,8.379107475280762
1752098676012,0.45429977774620056,4.016871929168701,8.18996524810791
1752098676079,0.535702645778656,,
1752098676081,,3.6278140544891357,9.245808601379395
1752098676146,0.17417816817760468,,
1752098676147,-0.14425064623355865,3.662529945373535,9.209895133972168
1752098676212,0.5620388388633728,,
1752098676213,0.6841431260108948,3.838503837585449,9.899425506591797
1752098676282,-0.06883329898118973,3.99532413482666,8.567051887512207
1752098676340,-1.2395979166030884,,
1752098676342,,3.515286684036255,10.294468879699707
1752098676346,0.14065934717655182,3.7068228721618652,8.575431823730469
1752098676412,-0.03890577703714371,4.101866245269775,8.85675048828125
1752098676480,-0.6613982319831848,3.795408248901367,8.526350975036621
1752098676542,-0.801459014415741,,
1752098676543,-1.2767080068588257,2.7347769737243652,8.541913032531738
1752098676547,-1.668160080909729,2.2391772270202637,10.616488456726074
1752098676617,-1.2395979166030884,2.425924777984619,11.727398872375488
1752098676681,-2.7946319580078125,1.787870168685913,7.465719223022461
1752098676749,-2.874837636947632,2.404376983642578,8.101380348205566
1752098676810,-3.6529531478881836,2.3792378902435303,6.688800811767578
1752098676812,-3.5272576808929443,,
1752098676813,,4.089895248413086,8.965686798095703
1752098676880,-7.958924770355225,1.9626468420028687,9.329605102539062
1752098676946,-2.123058319091797,3.8049850463867188,8.228272438049316
1752098677009,-5.641337871551514,,6.609792232513428
1752098677010,,3.066373825073242,
1752098677012,-6.138134479522705,3.309385299682617,5.9070940017700195
1752098677083,-5.570708751678467,3.9498343467712402,6.616974830627441
1752098677143,-5.18284797668457,,
1752098677145,,3.0208840370178223,8.229470252990723
1752098677146,-4.010886192321777,,
1752098677148,,4.379593372344971,6.443395137786865
1752098677212,-3.1908724308013916,,
1752098677213,-4.277839660644531,4.061164855957031,4.8716020584106445
1752098677281,-7.484873294830322,,1.6514005661010742
1752098677282,,4.969764232635498,1.7292121648788452
1752098677356,-11.205462455749512,1.5783774852752686,4.059967517852783
1752098677413,-5.751471042633057,0.25079262256622314,9.762955665588379
1752098677480,0.2687491476535797,-1.7663222551345825,3.4865562915802
1752098677546,1.4598644971847534,-6.462548732757568,-5.609015941619873
1752098677575,-12.121244430541992,-15.443199157714844,-5.806537628173828
1752098677612,-15.136741638183594,-18.960281372070312,-5.394734859466553
1752098677679,-21.930288314819336,,
1752098677681,,-15.993865966796875,-15.902886390686035
1752098677746,-18.728044509887695,-10.251373291015625,-3.0783448219299316
1752098677812,-14.674660682678223,,
1752098677813,,-7.071873188018799,-2.5755624771118164
1752098677875,-9.628880500793457,,
1752098677876,,-3.7223851680755615,-1.3844470977783203
1752098677882,-6.699574947357178,-3.8792052268981934,-5.539584159851074
1752098677946,-6.357203960418701,-4.100668907165527,-0.14903905987739563
1752098678012,-4.693233966827393,-4.78660774230957,2.407968282699585
1752098678038,-5.211578369140625,-3.6493618488311768,-0.17537526786327362
1752098678077,3.887584924697876,-6.039972305297852,0.32860419154167175
1752098678146,-9.855133056640625,-10.895413398742676,1.002571940422058
1752098678203,-2.671330451965332,-8.564658164978027,-3.271078109741211
1752098678212,-2.6641478538513184,,
1752098678213,,-7.417835235595703,-4.603451251983643
1752098678279,-3.2160115242004395,-9.304466247558594,-0.7032967209815979
1752098678344,-8.877100944519043,-11.723807334899902,1.9171570539474487
1752098678346,-13.133992195129395,-11.156381607055664,3.620631456375122
1752098678417,-12.463615417480469,-9.665990829467773,0.2735375463962555
1752098678418,-14.071321487426758,-6.940192222595215,-6.194398403167725
1752098678480,-11.631629943847656,-7.150881767272949,-1.7663222551345825
1752098678527,-7.221510887145996,-5.911882400512695,0.8038532137870789
1752098678560,-7.603385925292969,,
1752098678561,-6.129755020141602,-5.482123374938965,1.1390414237976074
1752098678592,-4.302978992462158,-3.6134488582611084,0.353743314743042
1752098678626,-5.520430564880371,-4.79738187789917,1.4383167028427124
1752098678692,-9.166799545288086,-3.5236663818359375,-2.0021512508392334
1752098678757,-3.889979124069214,0.3166331648826599,-1.9470845460891724
1752098678824,-0.6314706802368164,,
1752098678825,,-6.609792232513428,-0.14903905987739563
1752098678891,-4.897938251495361,,
1752098678892,,-11.601702690124512,3.619434356689453
1752098678957,-7.102997779846191,-20.773889541625977,-2.2463598251342773
1752098679025,-11.242572784423828,-16.54094123840332,-0.03172317147254944
1752098679092,-0.4255693554878235,-7.299322605133057,-1.7962498664855957
1752098679158,-5.838859558105469,,
1752098679160,-11.247361183166504,,1.8884265422821045
1752098679161,,-8.127716064453125,0.1885433793067932
1752098679225,-11.963227272033691,-5.652111530303955,-4.535216331481934
1752098679293,-6.186018466949463,,
1752098679294,,-3.221997022628784,-0.800261914730072
1752098679357,-5.331288814544678,,
1752098679358,-7.019200801849365,-3.6960489749908447,-0.12270283699035645
1752098679425,-15.595231056213379,,
1752098679426,,-1.3640964031219482,-0.13946224749088287
1752098679491,-3.473388195037842,,
1752098679492,0.3381809890270233,-9.478046417236328,5.175665378570557
1752098679559,0.7116764783859253,-4.021660327911377,-6.970119476318359
1752098679625,-2.316988706588745,,
1752098679626,,-4.835689067840576,5.252279758453369
1752098679697,-16.794727325439453,-11.055825233459473,-7.202357292175293
1752098679700,,-7.498041152954102,
1752098679757,-4.821323871612549,,
1752098679758,,-2.249951124191284,-6.2614359855651855
1752098679828,-3.7918169498443604,-7.055113792419434,0.011372458189725876
1752098679892,-4.514865875244141,-4.809352874755859,-1.7076643705368042
1752098679959,-0.5764040350914001,-3.3848025798797607,-0.1801636815071106
1752098680025,-2.6880898475646973,-13.706206321716309,-1.7172411680221558
1752098680041,-0.43993455171585083,-22.605453491210938,12.126032829284668
1752098680091,-1.5221136808395386,,
1752098680092,-1.512536883354187,-10.399813652038574,1.4359225034713745
1752098680158,-0.8038532137870789,-5.415085792541504,-7.978078842163086
1752098680224,-3.3895909786224365,-11.209053993225098,0.15741875767707825
1752098680292,-2.829347848892212,,
1752098680293,,-8.743025779724121,2.7287914752960205
1752098680359,-2.743156671524048,-9.55705451965332,0.31543606519699097
1752098680425,-2.3457190990448,-9.169194221496582,0.5644330382347107
1752098680492,-1.909974455833435,,
1752098680493,,-9.925761222839355,-0.6661866307258606
1752098680559,-2.4175450801849365,-9.686341285705566,-1.8441338539123535
